UKPRN,PROVIDER_NAME,MISSION_GROUP
10007776,ROEHAMPTON UNIVERSITY,Cathedrals_Group
10007159,UNIVERSITY OF SUNDERLAND,Million_Plus
10000291,ANGLIA RUSKIN UNIVERSITY,Million_Plus
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",1994_Group
10007855,SWANSEA UNIVERSITY,
10005553,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,1994_Group
10007777,ROYAL COLLEGE OF ART(THE),
10007822,CRANFIELD UNIVERSITY,
10007767,UNIVERSITY OF KEELE,
10003863,LEEDS TRINITY UNIVERSITY,Cathedrals_Group
10003863,LEEDS TRINITY UNIVERSITY,Million_Plus
10003645,KING'S COLLEGE LONDON,Russell_Group
10007782,"ST. GEORGE'S, UNIVERSITY OF LONDON",
10004775,NORWICH UNIVERSITY OF THE ARTS,
10003854,LEEDS COLLEGE OF ART,
10007759,ASTON UNIVERSITY,
10007848,UNIVERSITY OF CHESTER,Cathedrals_Group
10007783,UNIVERSITY OF ABERDEEN,
10007798,THE UNIVERSITY OF MANCHESTER,Russell_Group
10005561,ROYAL CONSERVATOIRE OF SCOTLAND,
10007154,"UNIVERSITY OF NOTTINGHAM, THE",Russell_Group
10008010,STRANMILLIS UNIVERSITY COLLEGE,
10007799,NEWCASTLE UNIVERSITY,Russell_Group
10007857,BANGOR UNIVERSITY,
10037449,UNIVERSITY OF ST MARK & ST JOHN,Cathedrals_Group
10007787,THE UNIVERSITY OF BUCKINGHAM,
10007149,UNIVERSITY OF HULL,
10007793,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,University_Alliance
10007835,ROYAL ACADEMY OF MUSIC,
10004048,LONDON METROPOLITAN UNIVERSITY,Million_Plus
10007843,"ST MARY'S UNIVERSITY, TWICKENHAM",Cathedrals_Group
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,Million_Plus
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,Cathedrals_Group
10001653,THE CONSERVATOIRE FOR DANCE AND DRAMA,
10007760,BIRKBECK COLLEGE,1994_Group
10006842,UNIVERSITY OF LIVERPOOL,Russell_Group
10003324,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),
10007146,UNIVERSITY OF GREENWICH,University_Alliance
10007713,YORK ST JOHN UNIVERSITY,Cathedrals_Group
10007858,UNIVERSITY OF WALES: TRINITY SAINT DAVID,Cathedrals_Group
10007846,SWANSEA METROPOLITAN UNIVERSITY,
10007825,GUILDHALL SCHOOL OF MUSIC & DRAMA,
10007785,UNIVERSITY OF BRADFORD,
10004078,LONDON SOUTH BANK UNIVERSITY,
